-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 10:22:35 PM     10/17/2025 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1117
  Max.    Elevation: 4070
  Mean.   Elevation: 1688.44240796514
  Std.    Deviation: 551.400668896545

                    Elevation          % Area Below Elevation         % Area Watershed

                    1471                     47.05                     .1
                    1472                     47.18                     .12
                    1473                     47.28                     .11
                    1474                     47.4                      .11
                    1475                     47.51                     .12
                    1476                     47.63                     .12
                    1477                     47.74                     .11
                    1478                     47.85                     .11
                    1479                     47.97                     .12
                    1480                     48.08                     .11
                    1481                     48.18                     .1
                    1482                     48.3                      .11
                    1483                     48.41                     .12
                    1484                     48.52                     .11
                    1485                     48.62                     .1
                    1486                     48.73                     .11
                    1487                     48.83                     .1
                    1488                     48.94                     .11
                    1489                     49.05                     .11
                    1490                     49.16                     .11
                    1491                     49.27                     .11
                    1492                     49.38                     .11
                    1493                     49.47                     .1
                    1494                     49.58                     .1
                    1495                     49.67                     .1
                    1496                     49.78                     .11
                    1497                     49.88                     .1
                    1498                     49.98                     .1
                    1499                     50.08                     .1
                    1500                     50.18                     .1
                    1501                     50.28                     .1
                    1502                     50.39                     .11
                    1503                     50.5                      .1
                    1504                     50.6                      .1
                    1505                     50.69                     .1
                    1506                     50.8                      .1
                    1507                     50.9                      .1
                    1508                     51                        .1
                    1509                     51.1                      .1
                    1510                     51.2                      .1
                    1511                     51.3                      .1
                    1512                     51.39                     .09
                    1513                     51.49                     .1
                    1514                     51.59                     .1
                    1515                     51.68                     .09
                    1516                     51.78                     .09
                    1517                     51.87                     .1
                    1518                     51.97                     .09
                    1519                     52.06                     .09
                    1520                     52.15                     .09
                    1521                     52.23                     .08
                    1522                     52.32                     .09
                    1523                     52.41                     .09
                    1524                     52.5                      .09
                    1525                     52.59                     .09
                    1526                     52.68                     .09
                    1527                     52.76                     .08
                    1528                     52.85                     .08
                    1529                     52.94                     .09
                    1530                     53.03                     .09
                    1531                     53.12                     .09
                    1532                     53.21                     .08
                    1533                     53.3                      .09
                    1534                     53.39                     .09
                    1535                     53.48                     .09
                    1536                     53.56                     .08
                    1537                     53.64                     .08
                    1538                     53.73                     .09
                    1539                     53.82                     .09
                    1540                     53.9                      .09
                    1541                     53.98                     .08
                    1542                     54.06                     .08
                    1543                     54.15                     .09
                    1544                     54.23                     .09
                    1545                     54.32                     .08
                    1546                     54.4                      .08
                    1547                     54.47                     .08
                    1548                     54.56                     .09
                    1549                     54.64                     .08
                    1550                     54.72                     .08
                    1551                     54.8                      .08
                    1552                     54.88                     .08
                    1553                     54.97                     .08
                    1554                     55.05                     .08
                    1555                     55.12                     .07
                    1556                     55.19                     .07
                    1557                     55.27                     .08
                    1558                     55.35                     .07
                    1559                     55.42                     .08
                    1560                     55.5                      .08
                    1561                     55.59                     .08
                    1562                     55.66                     .07
                    1563                     55.74                     .08
                    1564                     55.81                     .08
                    1565                     55.89                     .07
                    1566                     55.96                     .07
                    1567                     56.04                     .08
                    1568                     56.12                     .08
                    1569                     56.2                      .07
                    1570                     56.27                     .08
                    1571                     56.35                     .07
                    1572                     56.42                     .07
                    1573                     56.49                     .07
                    1574                     56.56                     .07
                    1575                     56.65                     .08
                    1576                     56.72                     .08
                    1577                     56.79                     .07
                    1578                     56.86                     .07
                    1579                     56.94                     .08
                    1580                     57.02                     .08
                    1581                     57.09                     .08
                    1582                     57.16                     .07
                    1583                     57.23                     .07
                    1584                     57.3                      .07
                    1585                     57.38                     .08
                    1586                     57.46                     .07
                    1587                     57.53                     .08
                    1588                     57.61                     .07
                    1589                     57.68                     .07
                    1590                     57.76                     .08
                    1591                     57.83                     .07
                    1592                     57.9                      .07
                    1593                     57.97                     .07
                    1594                     58.04                     .07
                    1595                     58.12                     .07
                    1596                     58.18                     .07
                    1597                     58.25                     .07
                    1598                     58.32                     .07
                    1599                     58.39                     .07
                    1600                     58.45                     .07
                    1601                     58.52                     .07
                    1602                     58.6                      .07
                    1603                     58.66                     .06
                    1604                     58.72                     .07
                    1605                     58.79                     .07
                    1606                     58.86                     .07
                    1607                     58.93                     .07
                    1608                     59                        .07
                    1609                     59.06                     .07
                    1610                     59.13                     .07
                    1611                     59.2                      .07
                    1612                     59.28                     .08
                    1613                     59.34                     .06
                    1614                     59.41                     .08
                    1615                     59.49                     .07
                    1616                     59.55                     .06
                    1617                     59.61                     .06
                    1618                     59.68                     .06
                    1619                     59.74                     .07
                    1620                     59.82                     .07
                    1621                     59.88                     .06
                    1622                     59.95                     .06
                    1623                     60.02                     .07
                    1624                     60.09                     .07
                    1625                     60.15                     .07
                    1626                     60.22                     .07
                    1627                     60.3                      .07
                    1628                     60.36                     .07
                    1629                     60.43                     .07
                    1630                     60.5                      .07
                    1631                     60.56                     .06
                    1632                     60.63                     .07
                    1633                     60.7                      .07
                    1634                     60.76                     .07
                    1635                     60.83                     .07
                    1636                     60.89                     .06
                    1637                     60.96                     .07
                    1638                     61.02                     .07
                    1639                     61.09                     .07
                    1640                     61.16                     .07
                    1641                     61.22                     .06
                    1642                     61.29                     .07
                    1643                     61.35                     .07
                    1644                     61.42                     .06
                    1645                     61.48                     .07
                    1646                     61.55                     .07
                    1647                     61.61                     .06
                    1648                     61.68                     .06
                    1649                     61.75                     .07
                    1650                     61.81                     .07
                    1651                     61.88                     .07
                    1652                     61.95                     .06
                    1653                     62                        .06
                    1654                     62.06                     .06
                    1655                     62.12                     .06
                    1656                     62.19                     .06
                    1657                     62.25                     .07
                    1658                     62.32                     .06
                    1659                     62.38                     .06
                    1660                     62.44                     .06
                    1661                     62.5                      .06
                    1662                     62.56                     .06
                    1663                     62.62                     .06
                    1664                     62.69                     .07
                    1665                     62.75                     .06
                    1666                     62.81                     .06
                    1667                     62.88                     .06
                    1668                     62.94                     .07
                    1669                     63.01                     .06
                    1670                     63.06                     .06
                    1671                     63.13                     .06
                    1672                     63.19                     .06
                    1673                     63.25                     .06
                    1674                     63.31                     .06
                    1675                     63.37                     .06
                    1676                     63.42                     .05
                    1677                     63.48                     .06
                    1678                     63.55                     .06
                    1679                     63.6                      .06
                    1680                     63.67                     .06
                    1681                     63.73                     .07
                    1682                     63.79                     .06
                    1683                     63.86                     .06
                    1684                     63.92                     .06
                    1685                     63.98                     .06
                    1686                     64.04                     .06
                    1687                     64.1                      .06
                    1688                     64.16                     .06
                    1689                     64.22                     .06
                    1690                     64.28                     .06
                    1691                     64.34                     .06
                    1692                     64.4                      .06
                    1693                     64.46                     .06
                    1694                     64.52                     .06
                    1695                     64.58                     .06
                    1696                     64.65                     .07
                    1697                     64.72                     .07
                    1698                     64.78                     .06
                    1699                     64.84                     .06
                    1700                     64.91                     .07
                    1701                     64.97                     .07
                    1702                     65.03                     .06
                    1703                     65.09                     .06
                    1704                     65.16                     .06
                    1705                     65.23                     .07
                    1706                     65.29                     .06
